Community,median_household,median_family,%earned,%self_empl,%investment,%soc_sec,%public_asst,%other,"percent_0-4,999","percent_5,000-9,999","percent_10,000-14,999","percent_15,000-19,999","percent_20,000-24,999","percent_25,000-34,999","percent_35,000-49,999","percent_50,000+",%fam_below_pov,%people_below_pov,%elderly_below_pov
Springdale Borough,"16,633.00","19,752.00",75,9,57,36,7,37,9,16,19,17,15,15,6,3,6,6,6
Springdale Township,"18,005.00","20,670.00",78,7,53,33,4,35,8,15,18,15,17,19,7,2,3,4,7
Squirrel Hill North,"24,041.00","36,681.00",84,22,72,25,4,20,8,12,11,10,10,12,14,23,3,11,6
Squirrel Hill South,"18,116.00","24,168.00",81,16,67,30,5,20,11,16,15,12,12,16,9,9,4,8,6
St. Clair,"4,445.00","4,443.00",47,2,7,15,58,17,57,23,10,4,1,5,0,0,67,64,37
Stanton Heights,"23,152.00","24,756.00",84,13,61,30,6,29,6,11,11,14,15,25,11,7,1,2,5
Stowe,"14,365.00","17,887.00",74,4,41,36,16,31,17,17,17,15,11,15,6,2,12,14,12
Strip District,"10,133.00","13,237.00",69,6,10,35,10,19,33,22,20,17,4,4,0,0,11,36,19
Summer Hill,"19,898.00","21,836.00",77,6,61,45,5,34,10,12,15,14,15,21,8,6,3,5,6
Swisshelm Park,"21,250.00","24,850.00",71,11,72,36,7,25,13,16,8,11,14,26,10,2,0,2,5
Swissvale,"16,084.00","18,872.00",75,5,48,38,7,33,13,17,16,19,15,14,5,1,6,7,6
Tarentum,"13,054.00","16,660.00",67,5,37,38,13,32,22,17,17,13,14,12,4,1,12,14,14
Terrace Village,"4,426.00","5,663.00",38,1,5,36,43,20,59,18,12,5,3,2,1,0,49,55,47
Thornburg,"45,687.00","45,991.00",93,21,80,24,1,21,2,0,5,7,11,18,13,45,0,1,2
Troy Hill,"13,849.00","16,780.00",missing,4,54,47,8,35,16,22,18,17,7,18,2,1,6,9,11
Turtle Creek,"14,449.00","17,630.00",69,3,45,37,9,39,14,20,17,17,13,11,5,1,6,10,9
Upper Hill,"13,617.00","17,813.00",72,6,33,41,21,34,18,21,15,11,15,10,7,3,11,16,14
Upper Lawrenceville,"14,842.00","17,235.00",71,3,36,38,14,30,17,19,14,18,14,13,4,1,11,12,15
